circumstance	Circumstance
explanation	Explanation
purpose	Purpose
locus	Locus
goal	Goal
source	Source
manner	Manner
means	Means
path	Path
direction	Direction
extent	Extent
temporal	Temporal
duration	Duration
frequency	Frequency
interval	Interval
time	Time
endtime	EndTime
starttime	StartTime
participant	Participant
beneficiary	Beneficiary
causer	Causer
agent	Agent
cost	Cost
experiencer	Experiencer
instrument	Instrument
originator	Originator
recipient	Recipient
stimulus	Stimulus
theme	Theme
topic	Topic
content	Content
configuration	Configuration
ancillary	Ancillary
characteristic	Characteristic
orgmember	OrgMember
partportion	PartPortion
stuff	Stuff
possession	Possession
quantityvalue	QuantityValue
approximator	Approximator
comparisonref	ComparisonRef
ensemble	Ensemble
gestalt	Gestalt
org	Org
possessor	Possessor
quantityitem	QuantityItem
whole	Whole
identity	Identity
rateunit	RateUnit
socialrel	SocialRel
species	Species
context	Context
topical	Topical
focus	Focus
quote	Quote
force	Force
setiteration	SetIteration
